"ARI" "ATL" "BAL" "BUF" "CAR" "CHI" "CIN" "CLE" "DAL" "DEN" "DET" "GB" "HOU" "IND" "JAX" "KC" "MIA" "MIN" "NE" "NO" "NYG" "NYJ" "OAK" "PHI" "PIT" "SD" "SEA" "SF" "STL" "TB" "TEN" "WAS"
"ARI" 0 1588 1998 1904 1778 1450 1577 1748 886 584 1686 1501 1016 1494 1789 1046 1978 1278 2293 1313 2141 2141 645 2077 1826 300 1113 653 1268 1794 1442 1977
"ATL" 1588 0 576 701 227 586 372 554 718 1211 597 791 701 427 283 676 606 908 934 424 750 750 2128 665 523 1888 2179 2137 465 417 215 541
"BAL" 1998 576 0 275 364 602 421 302 1209 1506 395 697 1249 509 680 960 958 934 359 998 174 174 2442 90 193 2292 2327 2451 730 852 595 36
"BUF" 1904 701 275 0 542 454 394 174 1200 1369 218 475 1289 438 881 861 1188 729 396 1090 291 291 2288 279 180 2187 2112 2297 665 1054 629 294
"CAR" 1778 227 364 542 0 585 337 433 927 1357 505 764 926 428 340 802 655 938 718 649 535 535 2289 450 364 2078 2281 2298 567 512 340 328
"CHI" 1450 586 602 454 585 0 248 311 802 919 237 209 940 162 859 412 1188 356 847 832 711 711 1847 663 410 1733 1735 1856 263 1002 394 593
"CIN" 1577 372 421 394 337 248 0 222 814 1092 234 434 895 99 627 540 957 603 736 709 569 569 2031 500 258 1870 1967 2040 309 782 240 401
"CLE" 1748 554 302 174 433 311 222 0 1026 1229 95 398 1116 266 767 702 1088 633 545 925 401 401 2158 354 112 2035 2025 2167 496 935 460 301
"DAL" 886 718 1209 1200 927 802 814 1026 0 665 998 958 225 762 903 454 1108 865 1547 441 1373 1373 1475 1296 1071 1184 1682 1484 545 915 615 1181
"DEN" 584 1211 1506 1369 1357 919 1092 1229 665 0 1154 935 881 999 1464 557 1726 700 1765 1082 1629 1629 938 1575 1320 834 1019 947 796 1523 1021 1490
"DET" 1686 597 395 218 505 237 234 95 998 1154 0 303 1106 240 830 643 1156 541 611 940 481 481 2079 442 207 1969 1933 2088 456 994 470 395
"GB" 1501 791 697 475 764 209 434 398 958 935 303 0 1118 363 1058 521 1388 256 862 1036 764 764 1829 736 509 1768 1639 1837 448 1207 603 698
"HOU" 1016 701 1249 1289 926 940 895 1116 225 881 1106 1118 0 865 819 648 965 1059 1602 317 1421 1421 1636 1339 1139 1303 1891 1645 677 790 665 1218
"IND" 1494 427 509 438 428 162 99 266 762 999 240 363 865 0 697 451 1027 510 805 713 646 646 1936 583 332 1785 1868 1945 231 844 251 492
"JAX" 1789 283 680 881 340 859 627 767 903 1464 830 1058 819 697 0 948 330 1189 1014 503 839 839 2360 757 703 2087 2450 2369 747 174 498 645
"KC" 1046 676 960 861 802 412 540 702 454 557 643 521 648 451 948 0 1243 412 1247 682 1096 1096 1495 1034 782 1335 1503 1504 239 1038 472 941
"MIA" 1978 606 958 1188 655 1188 957 1088 1108 1726 1156 1388 965 1027 330 1243 0 1513 1257 668 1098 1098 2582 1022 1015 2268 2731 2591 1060 205 817 925
"MIN" 1278 908 934 729 938 356 603 633 865 700 541 256 1059 510 1189 412 1513 0 1118 1053 1015 1015 1575 982 742 1533 1393 1583 469 1318 696 931
"NE" 2293 934 359 396 718 847 736 545 1547 1765 611 862 1602 805 1014 1247 1257 1118 0 1357 184 184 2684 269 478 2578 2485 2692 1036 1182 940 393
"NO" 1313 424 998 1090 649 832 709 925 441 1082 940 1036 317 713 503 682 668 1053 1357 0 1173 1173 1915 1088 922 1606 2100 1923 597 481 470 964
"NYG" 2141 750 174 291 535 711 569 401 1373 1629 481 764 1421 646 839 1096 1098 1015 184 1173 0 0 2558 85 315 2431 2402 2567 875 1009 762 209
"NYJ" 2141 750 174 291 535 711 569 401 1373 1629 481 764 1421 646 839 1096 1098 1015 184 1173 0 0 2558 85 315 2431 2402 2567 875 1009 762 209
"OAK" 645 2128 2442 2288 2289 1847 2031 2158 1475 938 2079 1829 1636 1936 2360 1495 2582 1575 2684 1915 2558 2558 0 2508 2254 455 678 9 1733 2389 1950 2427
"PHI" 2077 665 90 279 450 663 500 354 1296 1575 442 736 1339 583 757 1034 1022 982 269 1088 85 85 2508 0 255 2369 2373 2517 809 927 683 124
"PIT" 1826 523 193 180 364 410 258 112 1071 1320 207 509 1139 332 703 782 1015 742 478 922 315 315 2254 255 0 2117 2135 2263 561 875 474 189
"SD" 300 1888 2292 2187 2078 1733 1870 2035 1184 834 1969 1768 1303 1785 2087 1335 2268 1533 2578 1606 2431 2431 455 2369 2117 0 1066 460 1562 2087 1741 2271
"SEA" 1113 2179 2327 2112 2281 1735 1967 2025 1682 1019 1933 1639 1891 1868 2450 1503 2731 1393 2485 2100 2402 2402 678 2373 2135 1066 0 679 1722 2527 1971 2323
"SF" 653 2137 2451 2297 2298 1856 2040 2167 1484 947 2088 1837 1645 1945 2369 1504 2591 1583 2692 1923 2567 2567 9 2517 2263 460 679 0 1743 2398 1959 2436
