Team,CurrentLeague,CurrentDivision,DtoARI,DtoATL,DtoBAL,DtoBUF,DtoCAR,DtoCHI,DtoCIN,DtoCLE,DtoDAL,DtoDEN,DtoDET,DtoGB,DtoHOU,DtoIND,DtoJAX,DtoKC,DtoMIA,DtoMIN,DtoNE,DtoNO,DtoNYG,DtoNYJ,DtoOAK,DtoPHI,DtoPIT,DtoSD,DtoSEA,DtoSF,DtoSTL,DtoTB,DtoTEN,DtoWAS
ARI,NFC,WEST,NA,1856,2334,2250,2090,1803,1867,2066,1065,823,2031,1939,1177,1750,2047,1360,2363,1796,2686,1523,2459,2459,742,2394,2110,355,1508,754,1509,2158,1682,2348
ATL,NFC,SOUTH,1856,NA,677,894,244,709,461,710,782,1401,719,921,794,528,346,800,662,1114,1095,469,881,881,2466,774,685,2141,2670,2477,553,457,248,638
BAL,AFC,NORTH,2334,677,NA,363,436,700,498,374,1364,1658,524,902,1450,574,750,1057,1095,1109,401,1125,188,188,2813,97,246,2667,2800,2819,816,947,704,39
BUF,AFC,EAST,2250,894,363,NA,657,533,428,190,1364,1521,258,735,1559,500,1038,983,1384,942,455,1237,379,379,2646,381,215,2597,2633,2652,742,1235,705,382
CAR,NFC,SOUTH,2090,244,436,657,NA,754,482,517,1028,1562,668,965,1038,575,384,961,730,1165,860,713,646,646,2762,533,450,2387,2831,2768,714,581,408,397
CHI,NFC,NORTH,1803,709,700,533,754,NA,295,343,945,1004,286,203,1099,184,1064,527,1380,410,990,925,789,789,2129,758,460,2079,2101,2135,294,1175,471,696
CIN,AFC,NORTH,1867,461,498,428,482,295,NA,244,938,1193,255,504,1133,110,803,591,1130,703,864,811,633,633,2382,568,284,2202,2388,2388,351,925,279,506
CLE,AFC,NORTH,2066,710,374,190,517,343,244,NA,1180,1332,168,546,1376,317,898,799,1243,753,639,1053,464,464,2457,433,134,2408,2444,2463,559,1095,521,371
DAL,NFC,EAST,1065,782,1364,1364,1028,945,938,1180,NA,880,1181,1137,239,900,1029,555,1345,991,1761,505,1546,1546,1824,1462,1220,1360,2204,1835,652,1140,661,1327
DEN,AFC,WEST,823,1401,1658,1521,1562,1004,1193,1332,880,NA,1270,1102,1120,1086,1751,603,2068,914,1981,1383,1780,1780,1263,1729,1445,1079,1332,1269,851,1861,1158,1667
DET,NFC,NORTH,2031,719,524,258,668,286,255,168,1181,1270,NA,484,1315,277,1011,792,1357,694,706,1066,615,615,2394,584,285,2344,2386,2400,525,1179,534,522
GB,NFC,NORTH,1939,921,902,735,965,203,504,546,1137,1102,484,NA,1304,394,1275,626,1591,279,1197,1130,996,996,2227,965,666,2178,1937,2233,487,1386,681,903
HOU,AFC,SOUTH,1177,794,1450,1559,1038,1099,1133,1376,239,1120,1315,1304,NA,1033,872,794,1188,1230,1845,348,1631,1631,1918,1547,1418,1472,2443,1930,851,983,857,1412
IND,AFC,SOUTH,1750,528,574,500,575,184,110,317,900,1086,277,394,1033,NA,881,483,1197,592,936,820,709,709,2268,644,360,2093,2273,2274,242,992,287,582
JAX,AFC,SOUTH,2047,346,750,1038,384,1064,803,898,1029,1751,1011,1275,872,881,NA,1146,346,1460,1150,547,938,938,2812,847,831,2341,3016,2823,899,200,593,711
KC,AFC,WEST,1360,800,1057,983,961,527,591,799,555,603,792,626,794,483,1146,NA,1464,437,1418,911,1191,1191,1801,1126,842,1680,1871,1807,248,1259,555,1064
MIA,AFC,EAST,2363,662,1095,1384,730,1380,1130,1243,1345,2068,1357,1591,1188,1197,346,1464,NA,1776,1496,863,1283,1283,3128,1192,1178,2657,3333,3139,1215,280,910,1056
MIN,NFC,NORTH,1796,1114,1109,942,1165,410,703,753,991,914,694,279,1230,592,1460,437,1776,NA,1407,1223,1206,1206,2039,1176,877,1989,1658,2045,560,1570,867,1113
NE,AFC,EAST,2686,1095,401,455,860,990,864,639,1761,1981,706,1197,1845,936,1150,1418,1496,1407,NA,1518,215,215,3105,305,572,3055,3092,3111,1179,1343,1096,435
NO,NFC,SOUTH,1523,469,1125,1237,713,925,811,1053,505,1383,1066,1130,348,820,547,911,863,1223,1518,NA,1308,1308,2265,1224,1095,1817,2707,2276,677,659,533,1089
NYG,NFC,EAST,2459,881,188,379,646,789,633,464,1546,1780,615,996,1631,709,938,1191,1283,1206,215,1308,NA,0,2903,95,372,2853,2890,2909,953,1133,886,225
NYJ,AFC,EAST,2459,881,188,379,646,789,633,464,1546,1780,615,996,1631,709,938,1191,1283,1206,215,1308,0,NA,2903,95,372,2853,2890,2909,953,1133,886,225
OAK,AFC,WEST,742,2466,2813,2646,2762,2129,2382,2457,1824,1263,2394,2227,1918,2268,2812,1801,3128,2039,3105,2265,2903,2903,NA,2870,2571,496,803,12,2050,2924,2293,2807
PHI,NFC,EAST,2394,774,97,381,533,758,568,433,1462,1729,584,965,1547,644,847,1126,1192,1176,305,1224,95,95,2870,NA,305,2737,2859,2878,886,1044,824,136
PIT,AFC,NORTH,2110,685,246,215,450,460,284,134,1220,1445,285,666,1418,360,831,842,1178,877,572,1095,372,372,2571,305,NA,2453,2560,2579,602,1027,561,243
SD,AFC,WEST,355,2141,2667,2597,2387,2079,2202,2408,1360,1079,2344,2178,1472,2093,2341,1680,2657,1989,3055,1817,2853,2853,496,2737,2453,NA,1257,503,1852,2452,2025,2691
SEA,NFC,WEST,1508,2670,2800,2633,2831,2101,2388,2444,2204,1332,2386,1937,2443,2273,3016,1871,3333,1658,3092,2707,2890,2890,803,2859,2560,1257,NA,809,2145,3155,2451,2805
SF,NFC,WEST,754,2477,2819,2652,2768,2135,2388,2463,1835,1269,2400,2233,1930,2274,2823,1807,3139,2045,3111,2276,2909,2909,12,2878,2579,503,809,NA,2055,2935,2361,2813
STL,NFC,WEST,1509,553,816,742,714,294,351,559,652,851,525,487,851,242,899,248,1215,560,1179,677,953,953,2050,886,602,1852,2145,2055,NA,1012,308,825
TB,NFC,SOUTH,2158,457,947,1235,581,1175,925,1095,1140,1861,1179,1386,983,992,200,1259,280,1570,1343,659,1133,1133,2924,1044,1027,2452,3155,2935,1012,NA,704,908
TEN,AFC,SOUTH,1682,248,704,705,408,471,279,521,661,1158,534,681,857,287,593,555,910,867,1096,533,886,886,2293,824,561,2025,2451,2361,308,704,NA,666
WAS,NFC,EAST,2348,638,39,382,397,696,506,371,1327,1667,522,903,1412,582,711,1064,1056,1113,435,1089,225,225,2807,136,243,2691,2805,2813,825,908,666,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,http://maps.randmcnally.com/mileage_calculator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mean,1234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Median,1041.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mode,1095.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
